schema,table,foreign_key,columns,target_schema,target_table,target_columns
refs_fishery_config,gear_to_target_species,fk_refs_fishery_config_gear_to_target_species_gear_code,gear_code,refs_fishery_config,gears,code
refs_fishery_config,gear_to_target_species,fk_refs_fishery_config_gear_to_target_species_target_sp_edbb251,target_species_code,refs_fishery_config,target_species,code
refs_fishery_config,gears,fk_refs_fishery_config_gears_gear_group_code,gear_group_code,refs_fishery_config,gear_groups,code
refs_fishery_config,gears,fk_refs_fishery_config_gears_isscfg_code,isscfg_code,refs_legacy,isscfg_gears,code
refs_gis,area_intersections,fk_refs_gis_area_intersections_source_code,source_code,refs_gis,areas,code
refs_gis,area_intersections,fk_refs_gis_area_intersections_target_code,target_code,refs_gis,areas,code
refs_gis,areas,fk_refs_gis_areas_area_type_code,area_type_code,refs_gis,area_types,code
refs_legacy,areas,fk_refs_legacy_areas_area_type_code,area_type_code,refs_gis,area_types,code
refs_legacy,isscfg_gears,fk_refs_legacy_isscfg_gears_isscfg_group_code,isscfg_group_code,refs_legacy,isscfg_gear_groups,code
refs_legacy,nocs_names_en,fk_refs_legacy_nocs_names_en_id,id,refs_legacy,nocs_codes,id
refs_legacy,nocs_names_fr,fk_refs_legacy_nocs_names_fr_id,id,refs_legacy,nocs_codes,id
refs_legacy,species_to_grsf,fk_refs_legacy_species_to_grsf_species_code,species_code,refs_biology,species,code
refs_legacy,un_locode_ports,fk_refs_legacy_un_locode_ports_country_code,country_code,refs_admin,countries,code
