codelist,codelist_url
refs_fishery.vessel_types,https://data.iotc.org/reference/latest/domain/fisheries/#vesselTypes
refs_fishery.waste_categories,https://data.iotc.org/reference/latest/domain/fisheries/#wasteCategories
refs_fishery.waste_disposal_methods,https://data.iotc.org/reference/latest/domain/fisheries/#wasteDisposalMethods
refs_fishery.surface_fishery_activities,https://data.iotc.org/reference/latest/domain/fisheries/#Types_of_Surface_Fishery_Activities
refs_data.coverage_types,https://data.iotc.org/reference/latest/domain/data/#coverageTypes
refs_data.datasets,https://data.iotc.org/reference/latest/domain/data/#dataSets
refs_data.estimations,https://data.iotc.org/reference/latest/domain/data/#estimations
refs_data.logical_responses,https://data.iotc.org/reference/latest/domain/data/#logicalResponses
refs_data.processings,https://data.iotc.org/reference/latest/domain/data/#processings
refs_data.raisings,https://data.iotc.org/reference/latest/domain/data/#raisings
refs_data.sources,https://data.iotc.org/reference/latest/domain/data/#Sources
refs_data.types,https://data.iotc.org/reference/latest/domain/data/#types
refs_legacy.coverage_types,https://data.iotc.org/reference/latest/domain/data/#coverageTypes
refs_legacy.raisings,https://data.iotc.org/reference/latest/domain/data/#raisings
refs_socio_economics.country_currency,https://data.iotc.org/reference/latest/domain/economics/#currencies
refs_socio_economics.destination_markets,https://data.iotc.org/reference/latest/domain/economics/#destination
refs_socio_economics.pricing_locations,https://data.iotc.org/reference/latest/domain/economics/#pricingLocation
refs_socio_economics.product_types,https://data.iotc.org/reference/latest/domain/economics/#products
