schema,table,column,type,mandatory,description
ros_common,trip_vessel,number_of_active_fishing_days,integer,NO,
ros_common,trip_vessel,number_of_conducted_fishing_events_with_observer_onboard,integer,NO,
ros_common,trip_vessel,number_of_days_in_fishing_area,integer,NO,
ros_common,trip_vessel,number_of_days_lost,integer,NO,
ros_common,trip_vessel,number_of_days_searching,integer,NO,
ros_common,trip_vessel,number_of_days_transiting,integer,NO,
ros_common,trip_vessel,number_of_observed_fishing_events,integer,NO,
ros_common,trip_vessel,hull_material_code,character(2),NO,
ros_common,trip_vessel,number_of_crew,integer,NO,
ros_common,trip_vessel,return_timestamp,timestamp(6) without time zone,NO,
ros_common,trip_vessel,departure_timestamp,timestamp(6) without time zone,NO,
ros_common,trip_vessel,skipper_id,integer,NO,
ros_common,trip_vessel,fishing_master_id,integer,NO,
ros_common,trip_vessel,vessel_id,integer,NO,
ros_common,trip_vessel,fish_storage_capacity_value,double precision,NO,
ros_common,trip_vessel,fish_storage_capacity_unit,character varying(3),NO,
ros_common,trip_vessel,loa_value,double precision,NO,
ros_common,trip_vessel,loa_unit,character varying(3),NO,
ros_common,trip_vessel,departure_location_name,character varying(255),NO,
ros_common,trip_vessel,departure_latitude,double precision,NO,
ros_common,trip_vessel,departure_longitude,double precision,NO,
ros_common,trip_vessel,departure_country_code,character(3),NO,
ros_common,trip_vessel,departure_port_code,character varying(16),NO,
ros_common,trip_vessel,return_location_name,character varying(255),NO,
ros_common,trip_vessel,return_latitude,double precision,NO,
ros_common,trip_vessel,return_longitude,double precision,NO,
ros_common,trip_vessel,return_country_code,character(3),NO,
ros_common,trip_vessel,return_port_code,character varying(16),NO,
ros_common,trip_vessel,autonomy_range_value,double precision,NO,
ros_common,trip_vessel,autonomy_range_unit,character varying(3),NO,
ros_common,trip_vessel,tonnage_value,double precision,NO,
ros_common,trip_vessel,tonnage_unit,character varying(3),NO,
ros_common,trip_vessel,ais,character varying(5),NO,
ros_common,trip_vessel,gps,character varying(5),NO,
ros_common,trip_vessel,vms,character varying(5),NO,
ros_common,trip_vessel,depth_sounder,character varying(5),NO,
ros_common,trip_vessel,doppler_current_meter,character varying(5),NO,
ros_common,trip_vessel,expendable_bathythermographs,character varying(5),NO,
ros_common,trip_vessel,fisheries_information_services,character varying(5),NO,
ros_common,trip_vessel,hf_radios,character varying(5),NO,
ros_common,trip_vessel,radars,character varying(5),NO,
ros_common,trip_vessel,satellite_communication_systems,character varying(5),NO,
ros_common,trip_vessel,sonar,character varying(5),NO,
ros_common,trip_vessel,track_plotter,character varying(5),NO,
ros_common,trip_vessel,vhf_radios,character varying(5),NO,
ros_common,trip_vessel_fish_preservation_method,trip_id,integer,YES,
ros_common,trip_vessel_fish_preservation_method,fish_preservation_method_code,character(2),YES,
ros_common,trip_vessel_fish_storage_type,trip_id,integer,YES,
ros_common,trip_vessel_fish_storage_type,fish_storage_type_code,character(2),YES,
ros_common,trip_vessel_main_engines,trip_id,integer,YES,
ros_common,trip_vessel_main_engines,main_engines_make,character varying(255),NO,
ros_common,trip_vessel_main_engines,main_engines_value,double precision,YES,
ros_common,trip_vessel_main_engines,main_engines_unit,character varying(3),YES,
ros_common,trip_waste_managements,id,integer,YES,
ros_common,trip_waste_managements,trip_id,integer,YES,
ros_common,trip_waste_managements,waste_storage_or_disposal_method_code,character(2),NO,
ros_common,trip_waste_managements,waste_category_code,character(2),NO,
ros_ps,additional_catch_details_on_ssi,id,integer,YES,
ros_ps,additional_catch_details_on_ssi,photo_id,character varying(255),NO,
ros_ps,additional_catch_details_on_ssi,gear_interaction_code,character(2),NO,
ros_ps,additional_catch_details_on_ssi,handling_method_code,character(2),NO,
