table_id,direct_dependency,outer_dependency,outer_transitive_dependency
ros_ll.branchline_configurations,TRUE,FALSE,FALSE
ros_ll.branchline_configurations_storage,TRUE,FALSE,FALSE
ros_ll.branchline_sections,TRUE,FALSE,FALSE
ros_ll.branchlines_set,TRUE,FALSE,FALSE
ros_ll.catch_details,TRUE,FALSE,FALSE
ros_ll.fishing_events,TRUE,FALSE,FALSE
ros_ll.floatlines,TRUE,FALSE,FALSE
ros_ll.gear_specifications,TRUE,FALSE,FALSE
ros_ll.gear_specifications_mitigation_device,TRUE,FALSE,FALSE
ros_ll.hauling_offal_disposal_positions,TRUE,FALSE,FALSE
ros_ll.hauling_operations,TRUE,FALSE,FALSE
ros_ll.hooks_by_type,TRUE,FALSE,FALSE
ros_ll.leader_set,TRUE,FALSE,FALSE
ros_ll.lights_by_type_and_colour,TRUE,FALSE,FALSE
ros_ll.mitigation_measures,TRUE,FALSE,FALSE
ros_ll.mitigation_measures_mitigation_devices,TRUE,FALSE,FALSE
ros_ll.setting_operations,TRUE,FALSE,FALSE
ros_ll.setting_operations_target_species,TRUE,FALSE,FALSE
ros_ll.specimens,TRUE,FALSE,FALSE
ros_ll.tag_details,TRUE,FALSE,FALSE
ros_ll.tori_line_details,TRUE,FALSE,FALSE
ros_meta.contact,TRUE,FALSE,FALSE
ros_meta.focal_point,TRUE,FALSE,FALSE
ros_meta.observer,TRUE,FALSE,FALSE
ros_meta.observer_accreditation,TRUE,FALSE,FALSE
ros_meta.observer_identifier_mapping,TRUE,FALSE,FALSE
ros_meta.vessel,TRUE,FALSE,FALSE
ros_meta.vessel_licensed_target_species,TRUE,FALSE,FALSE
ros_pl.additional_catch_details_on_ssi,TRUE,FALSE,FALSE
ros_pl.bait_fishing_event_pl_catch_detail,TRUE,FALSE,FALSE
ros_pl.bait_fishing_events,TRUE,FALSE,FALSE
ros_pl.bait_fishing_operations,TRUE,FALSE,FALSE
ros_pl.baits_and_conditions,TRUE,FALSE,FALSE
ros_pl.catch_details,TRUE,FALSE,FALSE
ros_pl.gear_specifications,TRUE,FALSE,FALSE
ros_pl.lures_or_jiggers_by_type,TRUE,FALSE,FALSE
ros_pl.object_details,TRUE,FALSE,FALSE
ros_pl.specimens,TRUE,FALSE,FALSE
ros_pl.tag_details,TRUE,FALSE,FALSE
ros_pl.tuna_fishing_event_pl_catch_detail,TRUE,FALSE,FALSE
ros_pl.tuna_fishing_events,TRUE,FALSE,FALSE
ros_pl.tuna_fishing_operations,TRUE,FALSE,FALSE
ros_pl.tuna_fishing_operations_cl_school_sighting_cues,TRUE,FALSE,FALSE
ros_pl.tuna_fishing_operations_target_species,TRUE,FALSE,FALSE
ros_ps.additional_catch_details_on_ssi,TRUE,FALSE,FALSE
ros_ps.catch_details,TRUE,FALSE,FALSE
ros_ps.cetaceans_whale_shark_sightings,TRUE,FALSE,FALSE
ros_ps.fishing_events,TRUE,FALSE,FALSE
ros_ps.gear_specifications,TRUE,FALSE,FALSE
ros_ps.object_details,TRUE,FALSE,FALSE
ros_ps.setting_operations,TRUE,FALSE,FALSE
ros_ps.setting_operations_cl_school_sighting_cues,TRUE,FALSE,FALSE
ros_ps.specimens,TRUE,FALSE,FALSE
ros_ps.tag_details,TRUE,FALSE,FALSE
