schema,table,foreign_key,columns,target_schema,target_table,target_columns
ros_common,trip_vessel,fk_ros_common_trip_vessel_vms,vms,refs_data,logical_responses,code
ros_common,trip_vessel,fk_trip_vessel_fishing_master_id,fishing_master_id,ros_meta,contact,id
ros_common,trip_vessel,fk_trip_vessel_hull_material_code,hull_material_code,refs_fishery,hull_material_types,code
ros_common,trip_vessel,fk_trip_vessel_skipper_id,skipper_id,ros_meta,contact,id
ros_common,trip_vessel,fk_trip_vessel_trip_id,trip_id,ros_common,trip,id
ros_common,trip_vessel_fish_preservation_method,fk_ros_common_trip_vessel_fish_preservation_method_method_code,fish_preservation_method_code,refs_fishery,fish_preservation_methods,code
ros_common,trip_vessel_fish_preservation_method,fk_ros_common_trip_vessel_fish_preservation_method_trip_id,trip_id,ros_common,trip,id
ros_common,trip_vessel_fish_storage_type,fk_ros_common_trip_vessel_fish_storage_type_code,fish_storage_type_code,refs_fishery,fish_storage_types,code
ros_common,trip_vessel_fish_storage_type,fk_ros_common_trip_vessel_fish_storage_type_trip_id,trip_id,ros_common,trip,id
ros_common,trip_vessel_main_engines,fk_ros_common_trip_vessel_main_engines_trip_id,trip_id,ros_common,trip,id
ros_common,trip_waste_managements,fk_ros_common_waste_managements_storage_or_disposal_method_code,waste_storage_or_disposal_method_code,refs_fishery,waste_disposal_methods,code
ros_common,trip_waste_managements,fk_ros_common_waste_managements_trip_id,trip_id,ros_common,trip,id
ros_common,trip_waste_managements,fk_ros_common_waste_managements_waste_category_code,waste_category_code,refs_fishery,waste_categories,code
ros_ps,additional_catch_details_on_ssi,fk_ros_ps_additional_catch_details_on_ssi_brought_on_board,brought_on_board,refs_data,logical_responses,code
ros_ps,additional_catch_details_on_ssi,fk_ros_ps_additional_catch_details_on_ssi_revival,revival,refs_data,logical_responses,code
ros_ps,additional_catch_details_on_ssi,fk_ros_ps_gear_interaction_code_ps_additional_catch_details_on_,gear_interaction_code,refs_biology,gear_interactions,code
ros_ps,additional_catch_details_on_ssi,fk_ros_ps_handling_method_code_ps_additional_catch_details_on_s,handling_method_code,refs_biology,handling_methods,code
ros_ps,catch_details,fk_ros_ps_estimated_weight_sampling_method_code_ps_catch_detail,estimated_weight_sampling_method_code,refs_biology,sampling_methods_for_catch_estimation,code
ros_ps,catch_details,fk_ros_ps_fates_code_ps_catch_details,fates_code|type_of_fate_code,refs_biology,fates,code|type_of_fate_code
ros_ps,catch_details,fk_ros_ps_species_code_ps_catch_details,species_code,refs_biology,species,code
ros_ps,catch_details,psctchdtlspsfshngvntid,fishing_event_id,ros_ps,fishing_events,id
ros_ps,cetaceans_whale_shark_sightings,ctcnswhlshpssttngprtnd,setting_operation_id,ros_ps,setting_operations,id
ros_ps,cetaceans_whale_shark_sightings,fk_ros_ps_cetaceans_whale_shark_sightings_caught_inside_the_net,caught_inside_the_net,refs_data,logical_responses,code
ros_ps,cetaceans_whale_shark_sightings,fk_ros_ps_cetaceans_whale_shark_sightings_sighting_occurred_bef,sighting_occurred_before_setting,refs_data,logical_responses,code
ros_ps,cetaceans_whale_shark_sightings,fk_ros_ps_species_code_cetaceans_whale_shark_sightings,species_code,refs_biology,species,code
ros_ps,fishing_events,fk_ros_ps_fishing_events_trip,trip_id,ros_common,trip,id
ros_ps,fishing_events,psfshngvntpssttngprtnd,setting_operation_id,ros_ps,setting_operations,id
ros_ps,gear_specifications,fk_ros_ps_gear_specifications_power_block,power_block,refs_data,logical_responses,code
ros_ps,gear_specifications,fk_ros_ps_gear_specifications_purse_winch,purse_winch,refs_data,logical_responses,code
ros_ps,gear_specifications,fk_ros_ps_gear_specifications_trip,trip_id,ros_common,trip,id
ros_ps,object_details,fk_ros_ps_fad_raft_design_code_ps_object_details,fad_raft_design_code,refs_fishery,fad_raft_designs,code
ros_ps,object_details,fk_ros_ps_fad_tail_design_code_ps_object_details,fad_tail_design_code,refs_fishery,fad_tail_designs,code
ros_ps,object_details,fk_ros_ps_object_details_equipped_with_artificial_lights_at_dep,equipped_with_artificial_lights_at_deploy,refs_data,logical_responses,code
ros_ps,object_details,fk_ros_ps_object_details_equipped_with_artificial_lights_on_ret,equipped_with_artificial_lights_on_retrieval,refs_data,logical_responses,code
ros_ps,setting_operations,fk_ros_ps_first_school_detection_method_code_ps_setting_operati,first_school_detection_method_code,refs_fishery,school_detection_methods,code
ros_ps,setting_operations,pssttngprtnspsbjctdtld,ps_object_detail_id,ros_ps,object_details,id
ros_ps,setting_operations_cl_school_sighting_cues,fk_ros_ps_school_sighting_cue_code_ps_setting_operations_cl_sch,school_sighting_cue_code,refs_fishery,school_sighting_cues,code
ros_ps,setting_operations_cl_school_sighting_cues,pssttngprtpssttngprtnd,setting_operation_id,ros_ps,setting_operations,id
ros_ps,specimens,ddtnlspcmndtlsnntrgtsp,additional_specimen_details_non_target_species_id,ros_common,additional_details_on_non_target_species,id
ros_ps,specimens,pspsddtnlctchdtlsnsssd,additional_catch_details_on_ssis_id,ros_ps,additional_catch_details_on_ssi,id
ros_ps,specimens,psspcimenspstgdetailid,tag_detail_id,ros_ps,tag_details,id
ros_ps,specimens,psspcmnsbmtrcnfrmtonid,biometric_information_id,ros_common,biometric_information,id
ros_ps,specimens,psspcmnspsctchdetailid,catch_detail_id,ros_ps,catch_details,id
ros_ps,tag_details,fk_ros_ps_tag_details_tag_recovery,tag_recovery,refs_data,logical_responses,code
ros_ps,tag_details,fk_ros_ps_tag_details_tag_release,tag_release,refs_data,logical_responses,code
ros_ps,tag_details,fk_ros_ps_tag_type_code_ps_tag_details,tag_type_code,refs_biology,tag_types,code
ros_ps,tag_details,fk_tag_details_tag_finder_id,tag_finder_id,ros_meta,contact,id
ros_ll,additional_catch_details_on_ssi,fk_ros_ll_additional_catch_details_on_ssi_brought_on_board,brought_on_board,refs_data,logical_responses,code
ros_ll,additional_catch_details_on_ssi,fk_ros_ll_additional_catch_details_on_ssi_hook_type_code,hook_type_code,refs_fishery,hook_and_terminal_devices,code
ros_ll,additional_catch_details_on_ssi,fk_ros_ll_additional_catch_details_on_ssi_light_attached_to_bra,light_attached_to_branchline,refs_data,logical_responses,code
ros_ll,additional_catch_details_on_ssi,fk_ros_ll_additional_catch_details_on_ssi_revival,revival,refs_data,logical_responses,code
ros_ll,additional_catch_details_on_ssi,fk_ros_ll_bait_condition_code_ll_additional_catch_details_on_ss,bait_condition_code,refs_biology,bait_conditions,code
ros_ll,additional_catch_details_on_ssi,fk_ros_ll_dehooker_device_code_ll_additional_catch_details_on_s,dehooker_device_code,refs_fishery,dehooker_types,code
ros_ll,additional_catch_details_on_ssi,fk_ros_ll_gear_interaction_code_ll_additional_catch_details_on_,gear_interaction_code,refs_biology,gear_interactions,code
ros_ll,additional_catch_details_on_ssi,fk_ros_ll_handling_method_code_ll_additional_catch_details_on_s,handling_method_code,refs_biology,handling_methods,code
ros_ll,additional_catch_details_on_ssi,fk_ros_ll_leader_material_type_code_ll_additional_catch_details,leader_material_type_code,refs_fishery,line_material_types,code
ros_ll,baits_by_conditions,btsbycndtllsttngprtnsd,setting_operation_id,ros_ll,setting_operations,id
ros_ll,baits_by_conditions,fk_ros_ll_bait_condition_code_baits_by_conditions,bait_condition_code,refs_biology,bait_conditions,code
ros_ll,baits_by_conditions,fk_ros_ll_species_code_baits_by_conditions,species_code,refs_biology,species,code
ros_ll,biteoffs_by_branchlines_set,btffsbybrncllhlngprtnd,hauling_operation_id,ros_ll,hauling_operations,id
ros_ll,branchline_configurations,brnchlncnllgrspcfctnsd,gear_specification_id,ros_ll,gear_specifications,id
ros_ll,branchline_configurations_storage,fk_ros_ll_branchline_configurations_storage_code,branchline_storage_code,refs_fishery,branchline_storages,code
ros_ll,branchline_configurations_storage,fk_ros_ll_branchline_configurations_storage_configuration,branchline_configuration_id,ros_ll,branchline_configurations,id
ros_ll,branchline_sections,brnchlnbrnchlncnfgrtnd,branchline_configuration_id,ros_ll,branchline_configurations,id
ros_ll,branchline_sections,fk_ros_ll_branchline_material_type_code_branchline_sections,branchline_material_type_code,refs_fishery,line_material_types,code
ros_ll,branchlines_set,brnchlnssllsttngprtnsd,setting_operation_id,ros_ll,setting_operations,id
ros_ll,catch_details,fk_ros_ll_estimated_weight_sampling_method_code_ll_catch_detail,estimated_weight_sampling_method_code,refs_biology,sampling_methods_for_catch_estimation,code
ros_ll,catch_details,fk_ros_ll_fates_code_ll_catch_details,fates_code|type_of_fate_code,refs_biology,fates,code|type_of_fate_code
